product,country,market_year,metric,value
大豆,Nigeria,2002/03,exports,0
大豆,Norway,2002/03,exports,0
大豆,Panama,2002/03,exports,0
大豆,Serbia and Montenegro,2002/03,exports,0.01
大豆,Singapore,2002/03,exports,0.002
大豆,Switzerland,2002/03,exports,0
大豆,Syria,2002/03,exports,0
大豆,Trinidad and Tobago,2002/03,exports,0
大豆,Uganda,2002/03,exports,0.001
大豆,United Arab Emirates,2002/03,exports,0
大豆,Uzbekistan,2002/03,exports,0
大豆,Zambia,2002/03,exports,0
大豆,Zimbabwe,2002/03,exports,0.009
大豆,阿根廷,2002/03,imports,0.383
大豆,埃及,2002/03,imports,0.27
大豆,巴基斯坦,2002/03,imports,0.087
大豆,巴拉圭,2002/03,imports,0.01
大豆,巴西,2002/03,imports,1.321
大豆,玻利维亚,2002/03,imports,0.22
大豆,俄罗斯,2002/03,imports,0.015
大豆,菲律宾,2002/03,imports,0.248
大豆,哥伦比亚,2002/03,imports,0.515
大豆,韩国,2002/03,imports,1.516
大豆,加拿大,2002/03,imports,0.651
大豆,马来西亚,2002/03,imports,0.544
大豆,美国,2002/03,imports,0.127
大豆,孟加拉国,2002/03,imports,0.001
大豆,秘鲁,2002/03,imports,0.105
大豆,摩洛哥,2002/03,imports,0.359
大豆,墨西哥,2002/03,imports,4.23
大豆,南非,2002/03,imports,0.019
大豆,欧盟,2002/03,imports,17.023
大豆,日本,2002/03,imports,5.087
大豆,泰国,2002/03,imports,1.779
大豆,土耳其,2002/03,imports,0.742
大豆,委内瑞拉,2002/03,imports,0.004
大豆,乌克兰,2002/03,imports,0.001
大豆,乌拉圭,2002/03,imports,0
大豆,伊朗,2002/03,imports,0.533
大豆,印度,2002/03,imports,0
大豆,印度尼西亚,2002/03,imports,1.238
大豆,越南,2002/03,imports,0.034
大豆,智利,2002/03,imports,0.116
大豆,中国,2002/03,imports,21.417
大豆,中国台湾,2002/03,imports,2.351
大豆,Australia,2002/03,imports,0.065
大豆,Barbados,2002/03,imports,0.023
大豆,Bosnia and Herzegovina,2002/03,imports,0.002
大豆,Burma,2002/03,imports,0
大豆,Costa Rica,2002/03,imports,0.219
大豆,Cuba,2002/03,imports,0.108
大豆,Ecuador,2002/03,imports,0
大豆,Guatemala,2002/03,imports,0.01
大豆,Israel,2002/03,imports,0.5
大豆,"Korea, North",2002/03,imports,0.043
大豆,Nicaragua,2002/03,imports,0.003
大豆,Nigeria,2002/03,imports,0.01
大豆,Norway,2002/03,imports,0.465
大豆,Panama,2002/03,imports,0.013
大豆,Serbia and Montenegro,2002/03,imports,0.01
大豆,Singapore,2002/03,imports,0.02
大豆,Switzerland,2002/03,imports,0.043
大豆,Syria,2002/03,imports,0.092
大豆,Trinidad and Tobago,2002/03,imports,0.08
大豆,Uganda,2002/03,imports,0
大豆,United Arab Emirates,2002/03,imports,0.159
大豆,Uzbekistan,2002/03,imports,0.07
大豆,Zambia,2002/03,imports,0.001
大豆,Zimbabwe,2002/03,imports,0.003
大豆,阿根廷,2002/03,production,35.5
大豆,埃及,2002/03,production,0.018
大豆,巴基斯坦,2002/03,production,0.001
大豆,巴拉圭,2002/03,production,4.518
大豆,巴西,2002/03,production,52
大豆,玻利维亚,2002/03,production,1.584
大豆,俄罗斯,2002/03,production,0.392
大豆,菲律宾,2002/03,production,0.001
大豆,哥伦比亚,2002/03,production,0.081
大豆,韩国,2002/03,production,0.115
大豆,加拿大,2002/03,production,2.336
大豆,马来西亚,2002/03,production,0
大豆,美国,2002/03,production,75.01
大豆,孟加拉国,2002/03,production,0
大豆,秘鲁,2002/03,production,0.003
大豆,摩洛哥,2002/03,production,0.001
大豆,墨西哥,2002/03,production,0.089
大豆,南非,2002/03,production,0.137
大豆,欧盟,2002/03,production,1.122
大豆,日本,2002/03,production,0.27
大豆,泰国,2002/03,production,0.25
大豆,土耳其,2002/03,production,0.095
大豆,委内瑞拉,2002/03,production,0.002
大豆,乌克兰,2002/03,production,0.125
大豆,乌拉圭,2002/03,production,0.192
大豆,伊朗,2002/03,production,0.19
大豆,印度,2002/03,production,4
大豆,印度尼西亚,2002/03,production,0.78
大豆,越南,2002/03,production,0.206
大豆,智利,2002/03,production,0
大豆,中国,2002/03,production,16.507
大豆,中国台湾,2002/03,production,0
大豆,Australia,2002/03,production,0.018
大豆,Barbados,2002/03,production,0
大豆,Bosnia and Herzegovina,2002/03,production,0.007
大豆,Burma,2002/03,production,0.119
大豆,Costa Rica,2002/03,production,0
大豆,Cuba,2002/03,production,0
大豆,Ecuador,2002/03,production,0.097
大豆,Guatemala,2002/03,production,0.035
大豆,Israel,2002/03,production,0
大豆,"Korea, North",2002/03,production,0.1
大豆,Nicaragua,2002/03,production,0.003
大豆,Nigeria,2002/03,production,0.464
大豆,Norway,2002/03,production,0
